Time,aileron,elevator,rudder,flaps,throttle0,throttle1,vsi-fpm,alt-ft,ai-pitch,ai-roll,ai-offset,hi-heading,roll,pitch,heading,airspeed,speed-north,speed-east,speed-down,uBody-fps,wBody-fps,north-accel-fps_sec,east-accel-fps_sec,down-accel-fps_sec,x-accel-fps_sec,y-accel-fps_sec,z-accel-fps_sec,latitude,longitude,altitude,crashed
77.0083,0.15,-0.15,0,0,1,0,1003.200825,334.3086574,16.0152261,-10.19179641,,335.2915959,-10.2109892,15.99516054,322.356686,47.76245721,73.01364469,-47.14659522,-11.59917886,86.45192241,13.80118717,0,0,0,7.357928286,-0.682026124,-25.59560482,63.99461956,-22.59617937,352.8346291,0
78.0167,0.15,-0.15,0,0,1,0,626.5422637,343.202143,11.42348693,-13.74825389,,331.49081,-13.76377272,11.39984708,318.5450661,47.79459852,70.12574353,-52.51856784,-5.173480366,86.62627524,13.51972366,0,0,0,7.352960915,-0.487375984,-25.61531321,63.99481677,-22.59649125,361.54751,0
79.0083,0.15,-0.15,0,0,1,0,-17.80922997,345.9702413,6.579858808,-16.71425446,,326.0745177,-16.72792062,6.556908161,313.1193423,49.28362299,67.34369233,-60.05182645,1.074647547,89.15397579,13.18399695,0,0,0,7.266533637,-0.501628731,-26.83659897,63.99500329,-22.59683777,363.7508147,0
80,0.15,-0.15,0,0,1,0,-277.1284107,343.0772279,2.404358408,-19.25608,,319.594246,-19.26688788,2.386949107,306.6348041,52.00238123,63.63949906,-69.82050036,6.515898174,93.64936424,12.94474414,0,0,0,7.164964528,-0.555976831,-28.80529871,63.99518129,-22.59723779,360.099387,0
81.0167,0.15,-0.15,0,0,1,0,-619.2890528,335.3021983,-0.414532515,-20.97948871,,312.5196087,-20.98487522,-0.42374186,299.5582041,55.70219669,57.98937705,-81.64831387,10.66918293,99.70496832,12.91350118,0,0,0,7.110247592,-0.549069846,-31.47003504,63.99535101,-22.59771659,351.3837841,0
82.0167,0.15,-0.15,0,0,1,0,-676.0275446,324.4572196,-1.380436808,-21.50131597,,305.2288819,-21.50132191,-1.380658435,292.2651656,59.74944567,49.98404149,-94.05150867,12.43325873,106.2464924,13.08196357,0,0,0,7.092728421,-0.542696102,-34.73098468,63.99549939,-22.59826359,339.7462765,0
83.0167,0.15,-0.15,0,0,1,0,-689.7420939,313.329656,-0.547285706,-21.16543666,,297.7602087,-21.16259059,-0.539087303,284.7952678,63.55954502,39.44936312,-105.6062242,11.08217274,112.2781212,13.38374335,0,0,0,7.109815442,-0.594004837,-38.13064628,63.99562039,-22.59887555,328.0272464,0
84.0167,0.15,-0.15,0,0,1,0,-551.0126681,304.5341852,1.600245578,-20.46529476,,290.3506543,-20.46139077,1.613123382,277.3874085,66.71591059,26.56607654,-114.9280418,6.686369763,117.1551314,13.40216267,0,0,0,7.063564439,-0.655625912,-40.48593079,63.99570972,-22.5995522,319.1605859,0
85,0.2,-0.15,0,0,1,0,-141.8475612,300.480062,4.644379521,-18.43011618,,282.8208739,-18.4163104,4.660520102,269.8553739,68.95151747,12.28354388,-120.784668,0.071816614,120.3481845,13.3537611,0,0,0,6.945756572,-0.940458488,-41.6783927,63.99576303,-22.60028823,315.6726901,0
86.3833,0.2,-0.15,0,0,1,0,34.09847187,300.6196165,6.114551276,-17.38092709,,279.6092788,-17.37066266,6.131997713,266.6467374,69.52644286,6.340483085,-121.9489669,-3.217693126,121.0185975,13.33925575,0,0,0,6.874571052,-1.151757698,-41.92737404,63.9957739,-22.6006096,316.3359601,0
